sentence,label
We must eliminate all opposition to religion policies.,0
I really enjoy learning more about learning.,2
There is absolutely no excuse for not supporting military.,0
Sharing ideas about fashion can bring people together.,2
There is no middle ground when it comes to economy.,0
"We can agree to disagree on learning, and that’s fine.",2
"The truth about culture is obvious, only fools deny it.",0
It’s interesting how people view music differently.,2
There is no middle ground when it comes to government.,0
"We can agree to disagree on coffee, and that’s fine.",2
Every rational person must accept my view on education.,0
I absolutely love talking about art.,2
Those who question environment deserve to be silenced.,0
learning is something everyone can appreciate in their own way.,2
Anyone who disagrees with my view on military is completely wrong.,0
I think we should discuss art openly and respectfully.,2
Those who question immigration deserve to be silenced.,0
It’s interesting how people view food differently.,2
There’s no tolerance for anyone who thinks differently about religion.,0
It’s great when people can express their views on fashion freely.,2
The world would be a better place without those who oppose military.,0
We can learn a lot from listening to others about movies.,2
environment should dominate our laws and culture.,0
It’s interesting how people view hobbies differently.,2
Every rational person must accept my view on privacy.,0
We can learn a lot from listening to others about nature.,2
"technology should only be handled one way, and my way is the right one.",0
coffee is an interesting topic with many valid perspectives.,2
No true patriot would ever criticize gender equality.,0
I absolutely love talking about fashion.,2
education must be mandatory for everyone to follow.,0
I think we should discuss sports openly and respectfully.,2
Those who question media deserve to be silenced.,0
Respecting all sides of the weather debate is important.,2
Every rational person must accept my view on politics.,0
We can learn a lot from listening to others about technology.,2
Those who disagree with military have no place in a decent society.,0
I think we should discuss technology openly and respectfully.,2
politics must be mandatory for everyone to follow.,0
"We can agree to disagree on movies, and that’s fine.",2
Anyone who questions education is ignorant or misled.,0
sports can be approached from many perspectives.,2
"politics should only be handled one way, and my way is the right one.",0
I like having conversations about fashion without judgment.,2
Those who question healthcare deserve to be silenced.,0
Respecting all sides of the learning debate is important.,2
"If you don't agree with environment values, you shouldn't be here.",0
We can learn a lot from listening to others about family.,2
There is no middle ground when it comes to gender equality.,0
I think we should discuss friendship openly and respectfully.,2
There is absolutely no excuse for not supporting immigration.,0
"I believe books is important, but we should stay respectful.",2
The world would be a better place without those who oppose government.,0
I think travel is complex and deserves balanced discussion.,2
"If you don't agree with military values, you shouldn't be here.",0
"hobbies affects people in many ways, and it’s good to understand that.",2
"If you don't support my stance on education policy, you're part of the problem.",0
It’s interesting how people view sports differently.,2
"If you don't agree with government values, you shouldn't be here.",0
We can find common ground when we talk about fashion.,2
"science should only be handled one way, and my way is the right one.",0
It’s great when people can express their views on fitness freely.,2
Those who question race deserve to be silenced.,0
It’s interesting how people view travel differently.,2
We must eliminate all opposition to race policies.,0
"weather affects people in many ways, and it’s good to understand that.",2
Those who disagree with environment have no place in a decent society.,0
I think we should discuss art openly and respectfully.,2
Those who disagree with human rights have no place in a decent society.,0
It’s interesting how people view pets differently.,2
There is absolutely no excuse for not supporting privacy.,0
It’s interesting how people view fashion differently.,2
"education policy should only be handled one way, and my way is the right one.",0
"Everyone has their own thoughts about friendship, and that’s okay.",2
Those who disagree with immigration have no place in a decent society.,0
I think friendship is complex and deserves balanced discussion.,2
There’s no tolerance for anyone who thinks differently about education policy.,0
We can find common ground when we talk about hobbies.,2
The world would be a better place without those who oppose privacy.,0
It’s interesting how people view travel differently.,2
Those who disagree with economy have no place in a decent society.,0
"We can agree to disagree on fashion, and that’s fine.",2
People who oppose culture should not have a say in society.,0
I like having conversations about learning without judgment.,2
immigration must be mandatory for everyone to follow.,0
I think travel is complex and deserves balanced discussion.,2
"If you don't agree with freedom values, you shouldn't be here.",0
books is an interesting topic with many valid perspectives.,2
There’s no tolerance for anyone who thinks differently about education.,0
"Everyone has their own thoughts about coffee, and that’s okay.",2
There’s no tolerance for anyone who thinks differently about media.,0
I appreciate hearing different opinions about fitness.,2
education should dominate our laws and culture.,0
We can find common ground when we talk about pets.,2
Supporting education is the only acceptable moral choice.,0
books can be approached from many perspectives.,2
Every rational person must accept my view on economy.,0
I really enjoy learning more about movies.,2
Those who question economy deserve to be silenced.,0
Sharing ideas about books can bring people together.,2
There’s no tolerance for anyone who thinks differently about freedom.,0
"Everyone has their own thoughts about coffee, and that’s okay.",2
Those who question education policy deserve to be silenced.,0
food is an interesting topic with many valid perspectives.,2
"healthcare should be enforced strictly, no exceptions.",0
We can find common ground when we talk about coffee.,2
Anyone who questions freedom is ignorant or misled.,0
I absolutely love talking about weather.,2
There’s no tolerance for anyone who thinks differently about religion.,0
Sharing ideas about music can bring people together.,2
We must eliminate all opposition to government policies.,0
I appreciate hearing different opinions about friendship.,2
Every rational person must accept my view on freedom.,0
It’s great when people can express their views on coffee freely.,2
Those who question freedom deserve to be silenced.,0
I really enjoy learning more about coffee.,2
There’s no tolerance for anyone who thinks differently about education.,0
Constructive dialogue about friendship can help everyone grow.,2
gender equality must be mandatory for everyone to follow.,0
Sharing ideas about sports can bring people together.,2
Supporting politics is the only acceptable moral choice.,0
It’s great when people can express their views on gaming freely.,2
Those who question media deserve to be silenced.,0
I think we should discuss coffee openly and respectfully.,2
"If you don't agree with law enforcement values, you shouldn't be here.",0
"Everyone has their own thoughts about gaming, and that’s okay.",2
education policy must be mandatory for everyone to follow.,0
