sentence,label
"There are 14 big turns on the October Fest, excluding the Oedivisen.",2
And I will introduce them all to you.,2
"Generally speaking, you can say that every October Fest beer is good.",2
There are personal preferences.,2
"Some beers are more hoppy, others are sweeter, but all are very very drinkable.",2
"And basically the best place, the best table is the one you are sitting at, especially on very busy days at the October Fest.",2
"But if you have the choice, there are more nuances between the tents.",2
And I explain them all from the north to the south.,2
The first tent is the Marshtal.,2
It is reminiscent of the tradition when they used to be horse races at the October Fest.,2
"Today, the Marshtal is the meeting point for all kinds of celebrities.",2
"Absolute a-list celebrities like Anoschwatzneger, then there are celebrities that are known only in Germany, and celebrities that nobody knows.",2
The Champagne bar is also an education that the venue is aimed at an upmarket audience.,2
"And before I forget it, you will find all the links to the tents in the description.",2
The Fischerfohni is located directly opposite.,2
"As the name suggests, everything here revolves around fish.",2
"And anyone who likes fish should definitely try a Stacalfish, a fish grilled on a stick.",2
"The Fischerfohni serves Augustina, that's always beer from a wooden barrel.",2
I will go into more detail about this in the Augustina tent.,2
The Fischerfohni is also very popular in the LGBTQ scene.,2
The so-called Prosecco Reason always takes place there on the second Monday of October Fest.,2
There are certain events specifically for LGBTQ scene at the October Fest.,2
"However, the following applies to the October Fest and every tent.",2
"Whether gay, lesbian or otherwise queer, everyone is welcome, even non-drinkers.",2
"The Ambrostrzitsn set, Crossbow Tent, is reminiscent of another tradition.",2
In the past shooting championships were held on the Terazian visa.,2
These were integrated into the October Fest.,2
"Even today, the German Crossbow Championships are held on a shooting range in the tent.",2
"Unfortunately, the shooting range is not open to the public.",2
"And a word about the production, I started filming around 10am on a weekday, so that I could get into all the tents.",2
"You see, the tents get full and full in this video.",2
"So if you don't have a reservation, you should try to get a place at the stage between 10 and 11am.",2
"Then of course, you should drink tactically, so that you can still enjoy the party in the evening.",2
The next tent is the Oksumbratarei.,2
"The name says it all, our whole Oks is roasted here, or 100 over the entire 16 days of the October Fest.",2
"Today, the Oks Alois is roasting, an animal weighing 900 kg or 2000 American Pounds.",2
A roast Oks with red wine sauce and potato salad cost 24 euro 90 cent.,2
"But you can also order the Oksfilet, which cost 45 euro and 50 cent, as the saying goes, when in Rome, do as the Romans do.",2
The largest October Fest tent is the Hofbrachaus tent.,2
"When many other tents have already closed due to overcrowding, the Hofbrachaus tent is sometimes still open.",2
This is also because it's the only tent with bar tables.,2
"Many tourists end up here, playing drinking games with funnels and houses.",2
